codimap_category,codimap_title,codimap_date,views,comment_numbers
캐주얼,톤온톤 코디,21.07.02,"조회 16,024",댓글 49
캐주얼,블랙 매니아,21.02.23,"조회 34,661",댓글 46
캐주얼,오늘의 코디,22.03.22,"조회 12,189",댓글 38
댄디,추천 댄디 룩,21.09.15,"조회 20,176",댓글 27
캐주얼,릴랙스 룩,21.02.23,"조회 23,528",댓글 22
스트릿,힙하다 힙해,21.02.03,"조회 35,278",댓글 21
캐주얼,심플한 코디,21.07.30,"조회 39,563",댓글 18
댄디,데이트 코디,21.12.24,"조회 10,302",댓글 18
댄디,훈훈 남친 룩,21.03.24,"조회 19,336",댓글 16
캐주얼,지금 입기 좋아,21.08.31,"조회 20,205",댓글 16
댄디,남친 룩으로 제격,21.12.24,"조회 9,640",댓글 14
댄디,서머 데이트 룩,21.07.26,"조회 7,844",댓글 14
포멀,깔끔하게 즐겨,21.11.09,"조회 6,302",댓글 13
아메리칸 캐주얼,남다른 감각,21.11.17,"조회 4,325",댓글 11
캐주얼,편안함의 완성,21.10.04,"조회 19,412",댓글 11
캐주얼,원 마일 웨어,21.10.08,"조회 16,771",댓글 10
아메리칸 캐주얼,아메리칸 캐주얼,21.12.21,"조회 4,483",댓글 10
캐주얼,편하게 완성,21.07.21,"조회 14,968",댓글 10
캐주얼,레이어드의 매력,21.06.04,"조회 12,662",댓글 9
포멀,매력적인 포멀 룩,21.09.17,"조회 11,326",댓글 9
댄디,레이어드의 매력,21.11.23,"조회 10,152",댓글 8
캐주얼,발랄함 가득!,21.07.05,"조회 3,128",댓글 8
댄디,남친 룩의 정석,20.11.04,"조회 16,258",댓글 8
포멀,손색 없는 단정함,21.11.12,"조회 3,147",댓글 8
시크,시크한 감각,21.08.20,"조회 3,705",댓글 8
캐주얼,서머 캠퍼스 룩,22.07.19,"조회 3,122",댓글 8
캐주얼,꾸안꾸 코디,22.11.04,"조회 3,863",댓글 8
포멀,깔끔한 매력,21.03.08,"조회 13,719",댓글 8
캐주얼,러블리 캐주얼,20.11.18,"조회 9,407",댓글 7
캐주얼,캠퍼스 룩,21.07.12,"조회 7,331",댓글 7
캐주얼,오늘의 무드,21.12.06,"조회 6,950",댓글 7
캐주얼,캐주얼 룩의 정석,20.11.06,"조회 16,142",댓글 7
캐주얼,잘 고른 재킷,20.10.28,"조회 20,251",댓글 7
포멀,단정한 모습,21.11.26,"조회 5,641",댓글 7
댄디,훈훈한 스타일,21.12.29,"조회 3,503",댓글 7
아메리칸 캐주얼,실패 없는 코디,21.06.11,"조회 8,260",댓글 6
캐주얼,피크닉 가자!,21.08.20,"조회 2,684",댓글 6
댄디,데이트하는 날,21.09.07,"조회 16,898",댓글 6
댄디,레더 스타일링,21.09.28,"조회 8,142",댓글 6
아메리칸 캐주얼,센스 있는 아메카지,22.10.26,"조회 6,988",댓글 6
캐주얼,귀여운 프레피 룩,21.06.04,"조회 12,136",댓글 6
캐주얼,남친 룩 추천,21.06.11,"조회 10,863",댓글 6
아메리칸 캐주얼,아메카지 무드,22.06.17,"조회 4,677",댓글 6
로맨틱,레트로 스타일링,21.05.17,"조회 2,286",댓글 6
포멀,깔끔한 연출,21.11.10,"조회 3,563",댓글 6
포멀,클래식한 실루엣,21.01.15,"조회 4,227",댓글 6
포멀,완벽한 스타일링,21.09.15,"조회 3,975",댓글 6
캐주얼,멋 내는 방법,21.07.02,"조회 5,884",댓글 5
걸리시,귀여운 매치,21.05.17,"조회 1,907",댓글 5
스트릿,스트릿 무드,21.09.06,"조회 4,275",댓글 5
캐주얼,캐주얼 룩의 정석,21.03.12,"조회 10,966",댓글 5
스트릿,스트라이프 활용법,21.02.19,"조회 2,789",댓글 5
걸리시,누구나 반해,21.12.24,"조회 4,532",댓글 5
포멀,데이트 룩 완성!,21.02.08,"조회 10,447",댓글 5
캐주얼,편하게 멋 내봐,21.09.08,"조회 11,389",댓글 5
댄디,레이어드 코디,21.06.10,"조회 2,558",댓글 5
캐주얼,그린 포인트!,21.05.28,"조회 5,419",댓글 5
캐주얼,트렌디해!,21.12.24,"조회 2,692",댓글 5
캐주얼,가볍게 툭!,21.05.31,"조회 3,426",댓글 5
캐주얼,레트로 무드,21.03.12,"조회 11,469",댓글 5
